Date,Close/Last,Volume,Open,High,Low
10/11/2021,$48.79,558052,$49.98,$50.515,$48.79
10/08/2021,$50.21,518832,$49.66,$50.46,$49.28
10/07/2021,$49.63,357677,$49.85,$50.66,$49.4792
10/06/2021,$49.27,279193,$48.85,$49.85,$48.45
10/05/2021,$49.57,531760,$48.18,$49.81,$47.52
10/04/2021,$48.12,775628,$49.01,$49.55,$47.59
10/01/2021,$49.63,424664,$49.25,$50.46,$48.2782
09/30/2021,$48.92,445427,$50.42,$50.6399,$48.82
09/29/2021,$49.92,305406,$50.69,$50.69,$49.88
09/28/2021,$50.52,336757,$51.84,$52.13,$50.29
09/27/2021,$52.07,213143,$51.17,$52.34,$51.17
09/24/2021,$51.01,209524,$50.83,$51.58,$50.51
09/23/2021,$51.05,248522,$50.59,$51.57,$50.57
09/22/2021,$50.26,281633,$49.4,$50.77,$49.24
09/21/2021,$48.75,428310,$50.31,$50.4051,$48.25
09/20/2021,$49.64,574702,$50,$50.1,$48.49
09/17/2021,$51.55,574927,$51.74,$52.13,$51.12
09/16/2021,$51.35,304046,$52,$52.335,$50.93
09/15/2021,$51.92,393706,$50.63,$52.18,$50.5584
09/14/2021,$50.58,361992,$51.74,$51.98,$50.32
09/13/2021,$51.35,297468,$50.8,$51.36,$50.46
09/10/2021,$50.22,426167,$50.99,$51.17,$49.98
09/09/2021,$50.49,272220,$50.49,$51.38,$50.49
09/08/2021,$50.53,335382,$50.55,$51.32,$49.97
09/07/2021,$50.71,316827,$52.2,$52.25,$50.65
09/03/2021,$52.19,324984,$52.45,$52.89,$52.05
09/02/2021,$52.45,318157,$52,$52.57,$51.6
09/01/2021,$51.86,284859,$52.09,$52.38,$51.2
08/31/2021,$51.96,438912,$52,$52.22,$51.35
08/30/2021,$51.99,437893,$52.8,$52.8,$51.95
08/27/2021,$52.54,426154,$50.56,$52.63,$50.56
08/26/2021,$50.5,277278,$51.11,$51.31,$50.33
08/25/2021,$51.19,419803,$51.35,$52.23,$51.02
08/24/2021,$51.41,350504,$50.77,$51.43,$50.341
08/23/2021,$50.44,369099,$49.53,$50.595,$49.53
08/20/2021,$49.14,380907,$48,$49.23,$47.8
08/19/2021,$48.03,553294,$48.13,$48.85,$47.37
08/18/2021,$48.88,505557,$49.63,$50.11,$48.87
08/17/2021,$50.09,556461,$50.54,$50.89,$49.51
08/16/2021,$51.34,491597,$50.76,$51.58,$49.97
08/13/2021,$52.21,427242,$52.49,$52.63,$51.82
08/12/2021,$52.44,497529,$52.59,$52.96,$51.56
08/11/2021,$52.75,694844,$52.71,$53.29,$52.29
08/10/2021,$52.29,378255,$51.86,$52.7,$51.74
08/09/2021,$51.79,457355,$51.345,$52.39,$50.91
08/06/2021,$51.28,518457,$50.75,$51.3,$50.02
08/05/2021,$50.54,491102,$49.98,$50.8,$49.605
08/04/2021,$49.3,596988,$49,$49.705,$48.3
08/03/2021,$49.61,521530,$48.92,$49.93,$48.58
08/02/2021,$48.61,877894,$48.6,$49.77,$48.17
07/30/2021,$48.09,572654,$48.24,$48.65,$47.91
07/29/2021,$48.45,859631,$47.42,$49.29,$47.12
07/28/2021,$47.22,774850,$48.04,$48.1593,$46.8
07/27/2021,$48.04,444036,$48.37,$48.56,$47.6
07/26/2021,$49.05,415907,$49.17,$49.78,$48.77
07/23/2021,$49.17,275364,$49.5,$49.66,$48.81
07/22/2021,$48.93,292543,$50.22,$50.22,$48.71
07/21/2021,$50.22,247355,$49.6,$50.23,$49.52
07/20/2021,$48.97,460919,$47.83,$49.38,$47.51
07/19/2021,$47.71,564469,$48.5,$48.95,$47.25
07/16/2021,$49.53,409904,$50.59,$50.59,$49.325
07/15/2021,$50.11,351173,$50.09,$50.46,$49.61
07/14/2021,$50.6,406818,$50.82,$51.38,$50.17
07/13/2021,$50.75,363125,$51.85,$52,$50.55
07/12/2021,$51.83,382199,$50.66,$51.86,$50.5
07/09/2021,$51.28,420888,$50.43,$51.34,$50.43
07/08/2021,$49.66,319569,$50.34,$50.68,$49.37
07/07/2021,$51.55,380310,$50.8,$51.72,$50.52
07/06/2021,$51.06,373164,$51.03,$51.36,$50.27
07/02/2021,$51.03,338584,$51.58,$51.7,$51
07/01/2021,$51.35,396358,$51.26,$51.66,$51.06
06/30/2021,$50.82,421237,$50.22,$51.205,$50.14
06/29/2021,$50.54,501886,$50.63,$50.96,$50.1
06/28/2021,$50.35,516627,$52.01,$52.02,$50.05
06/25/2021,$51.87,1919221,$50.94,$51.92,$50.79
06/24/2021,$50.73,290673,$50.81,$50.93,$50.27
06/23/2021,$50.34,372320,$50.05,$50.63,$49.88
06/22/2021,$49.88,382355,$49.75,$49.88,$48.95
06/21/2021,$49.97,324654,$48.88,$50.0525,$48.83
06/18/2021,$48.56,857913,$49.7,$49.94,$48.27
06/17/2021,$50.62,716275,$52.12,$52.21,$49.73
06/16/2021,$52.56,578021,$53.49,$53.49,$52.28
06/15/2021,$53.75,416174,$53.89,$54.35,$53.49
06/14/2021,$53.78,364813,$53.85,$54,$53
06/11/2021,$53.79,422685,$54.32,$54.59,$53.61
06/10/2021,$53.94,871770,$53.06,$54.3,$53
06/09/2021,$52.25,380475,$52.67,$52.685,$51.91
06/08/2021,$52.61,425929,$51.84,$52.695,$50.965
06/07/2021,$51.71,401528,$51.66,$51.7732,$51.35
06/04/2021,$51.6,415132,$51.62,$51.75,$51.13
06/03/2021,$51.61,309836,$51.19,$51.95,$50.85
06/02/2021,$51.47,359569,$51.65,$51.68,$50.7955
06/01/2021,$51.68,381286,$51.76,$51.99,$50.99
05/28/2021,$51.08,389949,$51.29,$51.35,$50.24
05/27/2021,$51.22,506723,$51.14,$51.41,$50.78
05/26/2021,$50.67,692016,$50.39,$51.025,$49.67
05/25/2021,$50.24,388482,$51.54,$51.94,$50.2
05/24/2021,$51.24,340181,$51.85,$51.9,$51.19
05/21/2021,$51.27,309143,$51.31,$51.81,$50.96
05/20/2021,$50.88,437544,$49.92,$51.315,$49.49
05/19/2021,$49.66,577724,$49.26,$49.73,$48.4
05/18/2021,$50.2,953974,$51.02,$51.5,$49.88
05/17/2021,$51.13,514157,$51.69,$51.895,$50.36
05/14/2021,$52.1,395847,$51.36,$52.42,$51.08
05/13/2021,$51.01,628963,$50.24,$51.44,$50.01
05/12/2021,$50.92,853475,$54.68,$55,$50.81
05/11/2021,$55.07,498865,$54.86,$55.58,$54.3
05/10/2021,$56.37,596848,$56.59,$57.18,$56.34
05/07/2021,$56.48,560091,$56.4,$57.21,$56.01
05/06/2021,$56.35,671311,$54.29,$56.42,$54.12
05/05/2021,$54.4,662328,$52.78,$54.42,$52.38
05/04/2021,$52.53,601639,$52.18,$52.8693,$51.61
05/03/2021,$51.86,776586,$51.29,$52.3118,$50.81
04/30/2021,$50.92,935984,$52.06,$52.47,$50.57
04/29/2021,$52.77,530837,$53.3,$53.72,$51.96
04/28/2021,$52.57,1117471,$53.2,$53.72,$51.09
04/27/2021,$53.72,1027136,$53.88,$55.11,$53.35
04/26/2021,$56.5,966467,$55.57,$56.95,$55.4
04/23/2021,$54.97,471465,$53.95,$55.2,$53.5
04/22/2021,$53.73,614832,$54.08,$54.55,$53.3
04/21/2021,$54.09,579313,$52.68,$54.12,$52.61
04/20/2021,$52.93,721241,$54.25,$55.16,$52.23
04/19/2021,$54.77,599903,$56.02,$56.2599,$54.03
04/16/2021,$56.3,634333,$57.5,$57.65,$55.53
04/15/2021,$56.66,1193493,$54.86,$57.29,$54.17
04/14/2021,$53.94,376729,$54.14,$55.04,$53.85
